Species,Source,Date,Location,sample,BioSample,Estado,Região
Salmonella enterica,blood,2004.0,Brazil,GCA_003069885.1,SAMN06330384,,
Salmonella enterica,blood,2004.0,Brazil,GCA_003069845.1,SAMN06330382,,
Salmonella enterica,,2004.0,Brazil,GCA_003069825.1,SAMN06330381,,
Salmonella enterica,,2005.0,Brazil,GCA_003069805.1,SAMN06330380,,
Salmonella enterica,blood,2005.0,Brazil,GCA_003069785.1,SAMN06330403,,
Salmonella enterica,Hip Secretion,2005.0,Brazil,GCA_003069765.1,SAMN06330402,,
Salmonella enterica,blood,2005.0,Brazil,GCA_003069745.1,SAMN06330401,,
Salmonella enterica,Peripheral Blood,2005.0,Brazil,GCA_003069725.1,SAMN06330400,,
Salmonella enterica,blood,2010.0,Brazil,GCA_003069665.1,SAMN06330426,,
Salmonella enterica,urine,2007.0,Brazil,GCA_003069645.1,SAMN06330427,,
Salmonella enterica,blood,2013.0,Brazil,GCA_003068715.1,SAMN06330423,,
Salmonella enterica,blood,2013.0,Brazil,GCA_003067185.1,SAMN06330422,,
Salmonella enterica,Punch Liquid,2014.0,Brazil,GCA_003067095.1,SAMN06330417,,
Salmonella enterica,Punch Liquid,2014.0,Brazil,GCA_003067085.1,SAMN06330416,,
Salmonella enterica,blood,2015.0,Brazil,GCA_003066985.1,SAMN06330411,,
Salmonella enterica,urine,2016.0,Brazil,GCA_003066965.1,SAMN06330410,,
Salmonella enterica,blood,1984.0,Brazil,GCA_003066805.1,SAMN06333828,,
Salmonella enterica,blood,1984.0,Brazil,GCA_003066775.1,SAMN06333827,,
Salmonella enterica,blood,1984.0,Brazil,GCA_003066765.1,SAMN06333826,,
Salmonella enterica,feces,1985.0,Brazil,GCA_003066725.1,SAMN06333825,,
Salmonella enterica,blood,1987.0,Brazil,GCA_003066715.1,SAMN06333823,,
Salmonella enterica,Gallbladder,1987.0,Brazil,GCA_003066705.1,SAMN06333822,,
Salmonella enterica,blood,1985.0,Brazil,GCA_003066685.1,SAMN06333824,,
Salmonella enterica,Liquor,1987.0,Brazil,GCA_003066645.1,SAMN06333818,,
Salmonella enterica,blood,1987.0,Brazil,GCA_003066625.1,SAMN06333815,,
Salmonella enterica,Secretion,1988.0,Brazil,GCA_003066605.1,SAMN06333814,,
Salmonella enterica,blood,1988.0,Brazil,GCA_003066535.1,SAMN06333812,,
Salmonella enterica,feces,1989.0,Brazil,GCA_003066525.1,SAMN06333808,,
Salmonella enterica,Liquor,1990.0,Brazil,GCA_003066485.1,SAMN06333805,,
Salmonella enterica,Liquor,1990.0,Brazil,GCA_003066465.1,SAMN06333803,,
Salmonella enterica,blood,1990.0,Brazil,GCA_003066435.1,SAMN06333801,,
Salmonella enterica,blood,1990.0,Brazil,GCA_003066405.1,SAMN06333798,,
Salmonella enterica,blood,1990.0,Brazil,GCA_003066425.1,SAMN06333804,,
Salmonella enterica,blood,1990.0,Brazil,GCA_003066385.1,SAMN06333797,,
Salmonella enterica,blood,1990.0,Brazil,GCA_003066365.1,SAMN06333799,,
Salmonella enterica,blood,1991.0,Brazil,GCA_003066325.1,SAMN06333794,,
Salmonella enterica,feces,1991.0,Brazil,GCA_003066345.1,SAMN06333795,,
Salmonella enterica,urine,1991.0,Brazil,GCA_003066295.1,SAMN06333792,,
Salmonella enterica,Ascitic Fluid,1991.0,Brazil,GCA_003066265.1,SAMN06333787,,
Salmonella enterica,blood,1991.0,Brazil,GCA_003066225.1,SAMN06333790,,
Salmonella enterica,blood,1991.0,Brazil,GCA_003066215.1,SAMN06333786,,
Salmonella enterica,blood,1991.0,Brazil,GCA_003066205.1,SAMN06333788,,
Salmonella enterica,blood,1992.0,Brazil,GCA_003066165.1,SAMN06333785,,
Salmonella enterica,feces,1992.0,Brazil,GCA_003066135.1,SAMN06333783,,
Salmonella enterica,blood,1992.0,Brazil,GCA_003066125.1,SAMN06333777,,
Salmonella enterica,blood,1993.0,Brazil,GCA_003066065.1,SAMN06333773,,
Salmonella enterica,Secretion,1992.0,Brazil,GCA_003066045.1,SAMN06333775,,
Salmonella enterica,Liquor,1993.0,Brazil,GCA_003066025.1,SAMN06333772,,
Salmonella enterica,blood,1994.0,Brazil,GCA_003065995.1,SAMN06333771,,
Salmonella enterica,blood,1994.0,Brazil,GCA_003065985.1,SAMN06333770,,
Salmonella enterica,blood,1994.0,Brazil,GCA_003065965.1,SAMN06333769,,
Salmonella enterica,sputum,1995.0,Brazil,GCA_003065945.1,SAMN06333768,,
Salmonella enterica,blood,1995.0,Brazil,GCA_003065925.1,SAMN06333767,,
Salmonella enterica,blood,2015.0,Sao Paulo,GCA_011392305.1,SAMN10654032,SP,Sul
Oxynema sp.,mangrove soil,2006.0,"Cardoso Island, Cananeia",GCA_016632315.1,SAMN17242511,SP,Sul
Staphylococcus argenteus,swab of secretion from the foot,2019.0,Brazil,GCA_026191495.1,SAMN25243555,,
Staphylococcus argenteus,blood culture,2020.0,Brazil,GCA_026191515.1,SAMN25243512,,
Providencia stuartii,blood total,2019.0,Brazil,GCA_023572545.1,SAMN27549411,,
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217415.2,SAMN00254377,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217395.2,SAMN00254378,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217375.2,SAMN00254375,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217355.2,SAMN00254381,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217315.2,SAMN00254382,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217275.2,SAMN00254325,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217255.2,SAMN00254326,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217235.2,SAMN00254328,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217215.2,SAMN00254329,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Camacari,GCA_000217195.2,SAMN00254330,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217155.2,SAMN00254332,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217135.2,SAMN00254333,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217115.2,SAMN00254334,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217095.2,SAMN00254335,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217075.2,SAMN00254336,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217055.2,SAMN00254339,BA,Nordeste
Leptospira interrogans,Homo sapiens,,Salvador,GCA_000217035.2,SAMN00254337,BA,Nordeste
