Species,Source,Date,Location,sample,BioSample,Estado,Região
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047690095.1,SAMN46505683,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047690125.1,SAMN46505679,RJ,Sudeste
Streptococcus agalactiae,semen,2022.0,Rio de Janeiro,GCA_047690155.1,SAMN46505689,RJ,Sudeste
Streptococcus pneumoniae,blood,2017.0,Sao Paulo,GCA_002718275.1,SAMN07811907,SP,Sul
Streptococcus pyogenes,throat,2004.0,Brazil,GCA_005222545.1,SAMN10793308,,
Streptococcus pyogenes,Scarlet fever,2011.0,Brazil,GCA_900983825.1,SAMEA3919089,,
Streptococcus pyogenes,skin infection,2013.0,Brazil,GCA_900983945.1,SAMEA3919088,,
Streptococcus pyogenes,sterile site,2012.0,Brazil,GCA_900984025.1,SAMEA3919087,,
Streptococcus pyogenes,Scarlet fever,2011.0,Brazil,GCA_900984105.1,SAMEA3919086,,
Streptococcus pyogenes,Pharygitis,2012.0,Brazil,GCA_900984225.1,SAMEA3919085,,
Streptococcus pyogenes,Pharygitis,2012.0,Brazil,GCA_900984345.1,SAMEA3919084,,
Streptococcus pyogenes,Scarlet fever,2005.0,Brazil,GCA_900984455.1,SAMEA3919083,,
Streptococcus pyogenes,sterile site,2007.0,Brazil,GCA_900984565.1,SAMEA3919082,,
Streptococcus pyogenes,Scarlet fever,2011.0,Brazil,GCA_900984655.1,SAMEA3919081,,
Streptococcus pyogenes,sterile site,2007.0,Brazil,GCA_900984665.1,SAMEA3919080,,
Streptococcus pyogenes,Scarlet fever,2009.0,Brazil,GCA_900984675.1,SAMEA3919079,,
Streptococcus pyogenes,Scarlet fever,2012.0,Brazil,GCA_900984685.1,SAMEA3919078,,
Streptococcus pyogenes,skin infection,2005.0,Brazil,GCA_900984695.1,SAMEA3919076,,
Streptococcus pyogenes,skin infection,2014.0,Brazil,GCA_900984715.1,SAMEA3919077,,
Streptococcus pyogenes,sterile site,2003.0,Brazil,GCA_900984725.1,SAMEA3919075,,
Streptococcus pyogenes,Scarlet fever,2013.0,Brazil,GCA_900984735.1,SAMEA3919074,,
Streptococcus pyogenes,skin infection,2013.0,Brazil,GCA_900984745.1,SAMEA3919072,,
Streptococcus pyogenes,Scarlet fever,2005.0,Brazil,GCA_900984755.1,SAMEA3919069,,
Streptococcus pyogenes,,2000.0,Brazil,GCA_900984765.1,SAMEA3919070,,
Streptococcus pyogenes,Scarlet fever,2006.0,Brazil,GCA_900984775.1,SAMEA3919068,,
Streptococcus pyogenes,Scarlet fever,2003.0,Brazil,GCA_900984785.1,SAMEA3919071,,
Streptococcus pyogenes,sterile site,2004.0,Brazil,GCA_900984805.1,SAMEA3919073,,
Streptococcus pyogenes,Pharygitis,2013.0,Brazil,GCA_900984815.1,SAMEA3919067,,
Streptococcus pyogenes,Pharygitis,2012.0,Brazil,GCA_900984825.1,SAMEA3919066,,
Streptococcus pyogenes,skin infection,2012.0,Brazil,GCA_900984835.1,SAMEA3919065,,
Streptococcus pyogenes,Scarlet fever,2003.0,Brazil,GCA_900984855.1,SAMEA3919063,,
Streptococcus pyogenes,Pharygitis,2000.0,Brazil,GCA_900984865.1,SAMEA3919061,,
Streptococcus pyogenes,sterile site,2008.0,Brazil,GCA_900984875.1,SAMEA3919062,,
Streptococcus pyogenes,Scarlet fever,2011.0,Brazil,GCA_900984885.1,SAMEA3919060,,
Streptococcus pyogenes,APSGN,2004.0,Brazil,GCA_900984905.1,SAMEA3919058,,
Streptococcus pyogenes,sterile site,2009.0,Brazil,GCA_900984925.1,SAMEA3919057,,
Streptococcus pyogenes,Scarlet fever,2013.0,Brazil,GCA_900984945.1,SAMEA3919051,,
Streptococcus pyogenes,Scarlet fever,2007.0,Brazil,GCA_900984965.1,SAMEA3919052,,
Streptococcus pyogenes,,2000.0,Brazil,GCA_900984985.1,SAMEA3919053,,
Streptococcus pyogenes,Pharygitis,2003.0,Brazil,GCA_900984975.1,SAMEA3919055,,
Streptococcus pyogenes,Pharygitis,2002.0,Brazil,GCA_900984995.1,SAMEA3919056,,
Streptococcus pyogenes,Scarlet fever,2004.0,Brazil,GCA_900985005.1,SAMEA3919050,,
Streptococcus pyogenes,Pharygitis,2011.0,Brazil,GCA_900985015.1,SAMEA3919047,,
Streptococcus pyogenes,Pharygitis,2012.0,Brazil,GCA_900985035.1,SAMEA3919046,,
Streptococcus pyogenes,Scarlet fever,2011.0,Brazil,GCA_900985045.1,SAMEA3919044,,
Streptococcus pyogenes,sterile site,2013.0,Brazil,GCA_900985065.1,SAMEA3919038,,
Streptococcus pyogenes,skin infection,2003.0,Brazil,GCA_900985075.1,SAMEA3919039,,
Streptococcus pyogenes,Scarlet fever,2007.0,Brazil,GCA_900985095.1,SAMEA3919037,,
Streptococcus pyogenes,Throat carriage,2012.0,Brazil,GCA_900985105.1,SAMEA3919036,,
Streptococcus pyogenes,Pharygitis,2005.0,Brazil,GCA_900985115.1,SAMEA3919030,,
Streptococcus pyogenes,,2007.0,Brazil,GCA_900985125.1,SAMEA3919031,,
Streptococcus pyogenes,Pharygitis,2002.0,Brazil,GCA_900985145.1,SAMEA3919029,,
Streptococcus pyogenes,Pharygitis,2004.0,Brazil,GCA_900985155.1,SAMEA3919028,,
Streptococcus pyogenes,skin infection,2014.0,Brazil,GCA_900985275.1,SAMEA3919091,,
Streptococcus pyogenes,sterile site,2013.0,Brazil,GCA_900985375.1,SAMEA3919090,,
Streptococcus pyogenes,Oropharynx,2011.0,Brasilia,GCF_000685525.1,SAMN02708613,DF,Centro-oeste
Streptococcus pyogenes,Blood,2011.0,Brasilia,GCF_000685505.1,SAMN02708610,DF,Centro-oeste
Streptococcus pyogenes,blood,2011.0,Brasilia,GCF_000685485.1,SAMN02708609,DF,Centro-oeste
Streptococcus pyogenes,Blood,2011.0,Brasilia,GCF_000685545.1,SAMN02708612,DF,Centro-oeste
Streptococcus pyogenes,Blood,2011.0,Brasilia,GCF_000685565.1,SAMN02708611,DF,Centro-oeste
Streptococcus pyogenes,oropharynx,1997.0,Brazil,GCA_014218015.1,SAMN12251806,,
Streptococcus pyogenes,oropharynx,1997.0,Brazil,GCA_014218035.1,SAMN12251807,,
Streptococcus pyogenes,,1997.0,Brazil,GCA_035918435.1,SAMN38843091,,
Streptococcus pyogenes,,1999.0,Brazil,GCA_035918515.1,SAMN38843087,,
Streptococcus pyogenes,,1997.0,Brazil,GCA_035918475.1,SAMN38843089,,
Streptococcus pyogenes,Vaginal cavity,2012.0,Porto Alegre,GCA_002115435.1,SAMN06671863,RS,Sul
Streptococcus pyogenes,Oropharynx,2012.0,Porto Alegre,GCA_002115465.1,SAMN06671861,RS,Sul
Streptococcus pyogenes,skin,2012.0,Porto Alegre,GCA_002115485.1,SAMN06671862,RS,Sul
Streptococcus pyogenes,blood,2011.0,Porto Alegre,GCA_002115505.1,SAMN06671848,RS,Sul
Streptococcus pyogenes,bronchoalveolar lavage,2016.0,Porto Alegre,GCA_004114635.1,SAMN10769286,RS,Sul
Streptococcus pyogenes,blood,2004.0,Porto Alegre,GCA_004122715.1,SAMN10769256,RS,Sul
Streptococcus pyogenes,oropharynx,2011.0,Porto Alegre,GCA_004122745.1,SAMN10769257,RS,Sul
Streptococcus pyogenes,pleural liquid,2012.0,Porto Alegre,GCA_004122835.1,SAMN10769258,RS,Sul
Streptococcus pyogenes,sputum,2013.0,Porto Alegre,GCA_004122875.1,SAMN10769259,RS,Sul
Streptococcus pyogenes,sputum,2015.0,Porto Alegre,GCA_004122885.1,SAMN10769285,RS,Sul
Streptococcus pyogenes,postoperative wound infection,2015.0,Porto Alegre,GCA_004122895.1,SAMN10769263,RS,Sul
Streptococcus pyogenes,throat,2003.0,Brazil,GCA_005161325.1,SAMN10793319,,
Staphylococcus aureus,patient with blood stream infection,1993.0,Rio de Janeiro,GCA_000418345.1,SAMN02603524,RJ,Sudeste
Staphylococcus aureus,blood,2009.0,MG,GCA_000442355.1,SAMN02179359,MG,Sudeste
Staphylococcus aureus,blood,,Brazil,GCA_000816715.1,SAMN03160716,,
Streptococcus vestibularis,"Oral cavity, infant (2 months of age)",2013.0,Brazil,GCF_001657905.1,SAMN04931587,,
Streptococcus vestibularis,"Oral cavity, infant (2 months of age)",2013.0,Brazil,GCF_001657915.1,SAMN04931594,,
Enterococcus faecalis,Perianal Swab,2009.0,Belo Horizonte,GCA_003709885.1,SAMN03196849,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003709905.1,SAMN03196920,MG,Sudeste
Enterococcus faecalis,Perianal Swab,2011.0,Belo Horizonte,GCA_003709925.1,SAMN03196921,MG,Sudeste
Enterococcus faecalis,Axilla Swab,2011.0,Belo Horizonte,GCA_003709945.1,SAMN03196940,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003709965.1,SAMN03196943,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003711625.1,SAMN03840422,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003711635.1,SAMN03840350,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003711665.1,SAMN03840423,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003711675.1,SAMN03840424,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003711705.1,SAMN03840421,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003711725.1,SAMN03840427,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003711745.1,SAMN03840435,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003711755.1,SAMN03840433,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003711785.1,SAMN03840434,MG,Sudeste
Enterococcus faecalis,Hemoculture,2011.0,Belo Horizonte,GCA_003711825.1,SAMN03840436,MG,Sudeste
Enterococcus faecalis,urine,2012.0,Brazil,GCF_001692705.1,SAMN05427524,,
Enterococcus faecalis,urine,2016.0,Sao Paulo,GCA_002751015.1,SAMN07842665,SP,Sul
Enterococcus faecalis,rectal,2018.0,Porto Alegre,GCA_029126205.1,SAMN25271720,RS,Sul
Enterococcus faecium,feces,2015.0,Brazil,GCA_015536545.1,SAMN15546628,,
Enterococcus faecium,urine,2016.0,Brazil,GCA_015536555.1,SAMN15546631,,
Enterococcus faecium,feces,2016.0,Brazil,GCA_015538405.1,SAMN15546630,,
Enterococcus faecium,feces,2015.0,Brazil,GCA_015538425.1,SAMN15546626,,
Enterococcus faecium,blood,2015.0,Brazil,GCA_015538455.1,SAMN15546627,,
Enterococcus faecium,feces,2015.0,Brazil,GCA_015538435.1,SAMN15546624,,
Enterococcus faecium,feces,2016.0,Brazil,GCA_015538475.1,SAMN15546629,,
Enterococcus faecium,feces,2015.0,Brazil,GCA_015538485.1,SAMN15546625,,
Enterococcus faecium,feces,2015.0,Brazil,GCA_015538525.1,SAMN15546620,,
Enterococcus faecium,feces,2015.0,Brazil,GCA_015538535.1,SAMN15546622,,
Enterococcus faecium,blood,2015.0,Brazil,GCA_015538545.1,SAMN15546623,,
Enterococcus faecium,feces,2015.0,Brazil,GCA_015538575.1,SAMN15546619,,
Enterococcus faecium,blood,2015.0,Brazil,GCA_015538595.1,SAMN15546621,,
Enterococcus faecium,feces,2014.0,Brazil,GCA_015538625.1,SAMN15546618,,
Enterococcus faecium,blood,2014.0,Brazil,GCA_015538635.1,SAMN15546617,,
Enterococcus faecium,feces,2013.0,Brazil,GCA_015538645.1,SAMN15546616,,
Enterococcus faecium,feces,2013.0,Brazil,GCA_015538675.1,SAMN15546614,,
Enterococcus faecium,feces,2013.0,Brazil,GCA_015538695.1,SAMN15546615,,
Enterococcus faecium,blood,2012.0,Brazil,GCA_015538725.1,SAMN15546613,,
Enterococcus faecium,feces,2011.0,Brazil,GCA_015538745.1,SAMN15546611,,
Enterococcus faecium,blood,2012.0,Brazil,GCA_015538755.1,SAMN15546612,,
Enterococcus faecium,feces,2010.0,Brazil,GCA_015538785.1,SAMN15546609,,
Enterococcus faecium,urine,2011.0,Brazil,GCA_015538795.1,SAMN15546610,,
Enterococcus faecium,feces,2010.0,Brazil,GCA_015538825.1,SAMN15546608,,
Enterococcus faecium,blood,2009.0,Brazil,GCA_015538845.1,SAMN15546606,,
Enterococcus faecium,urine,2010.0,Brazil,GCA_015538855.1,SAMN15546607,,
Enterococcus faecium,feces,2009.0,Brazil,GCA_015538865.1,SAMN15546605,,
Enterococcus faecium,feces,2009.0,Brazil,GCA_015538905.1,SAMN15546604,,
Enterococcus faecium,feces,2008.0,Brazil,GCA_015538925.1,SAMN15546601,,
Enterococcus faecium,blood,2009.0,Brazil,GCA_015538935.1,SAMN15546603,,
Enterococcus faecium,feces,2009.0,Brazil,GCA_015538945.1,SAMN15546602,,
Enterococcus faecium,urine,2008.0,Brazil,GCA_015538975.1,SAMN15546599,,
Enterococcus faecium,urine,2008.0,Brazil,GCA_015538985.1,SAMN15546600,,
Enterococcus faecium,feces,2006.0,Brazil,GCA_020103675.1,SAMN19459754,,
Enterococcus faecium,feces,2016.0,Brazil,GCA_020162935.1,SAMN19459780,,
Enterococcus faecium,blood,2015.0,Brazil,GCA_020162945.1,SAMN19459779,,
Enterococcus faecium,feces,2015.0,Brazil,GCA_020162975.1,SAMN19459778,,
Enterococcus faecium,blood,2015.0,Brazil,GCA_020162985.1,SAMN19459777,,
Enterococcus faecium,blood,2016.0,Brazil,GCA_020163015.1,SAMN19459781,,
Enterococcus faecium,Tissue Fragment,2013.0,Brazil,GCA_020163045.1,SAMN19459773,,
Enterococcus faecium,urine,2015.0,Brazil,GCA_020163035.1,SAMN19459774,,
Enterococcus faecium,Necrotic Tissue,2015.0,Brazil,GCA_020163075.1,SAMN19459775,,
Enterococcus faecium,feces,2015.0,Brazil,GCA_020163085.1,SAMN19459776,,
Enterococcus faecium,blood,2013.0,Brazil,GCA_020163135.1,SAMN19459771,,
Enterococcus faecium,blood,2013.0,Brazil,GCA_020163115.1,SAMN19459772,,
Enterococcus faecium,blood,2013.0,Brazil,GCA_020163195.1,SAMN19459769,,
Enterococcus faecium,feces,2013.0,Brazil,GCA_020163145.1,SAMN19459770,,
Enterococcus faecium,urine,2011.0,Brazil,GCA_020163175.1,SAMN19459768,,
Enterococcus faecium,blood,2011.0,Brazil,GCA_020163215.1,SAMN19459767,,
Enterococcus faecium,urine,2009.0,Brazil,GCA_020163235.1,SAMN19459764,,
Enterococcus faecium,blood,2010.0,Brazil,GCA_020163245.1,SAMN19459765,,
Enterococcus faecium,blood,2009.0,Brazil,GCA_020163275.1,SAMN19459762,,
Enterococcus faecium,blood,2011.0,Brazil,GCA_020163305.1,SAMN19459766,,
Enterococcus faecium,feces,2009.0,Brazil,GCA_020163295.1,SAMN19459763,,
Enterococcus faecium,feces,2008.0,Brazil,GCA_020163395.1,SAMN19459759,,
Enterococcus faecium,urine,2009.0,Brazil,GCA_020163335.1,SAMN19459761,,
Enterococcus faecium,Peritoneal Fluid,2009.0,Brazil,GCA_020163355.1,SAMN19459760,,
Enterococcus faecium,Ulcer,2007.0,Brazil,GCA_020163375.1,SAMN19459757,,
Enterococcus faecium,Wound secretion,2007.0,Brazil,GCA_020163415.1,SAMN19459758,,
Enterococcus faecium,feces,2007.0,Brazil,GCA_020163435.1,SAMN19459756,,
Enterococcus faecium,blood,2007.0,Brazil,GCA_020163455.1,SAMN19459755,,
Enterococcus faecium,feces,2006.0,Brazil,GCA_020163475.1,SAMN19459753,,
Enterococcus faecium,urine,2006.0,Brazil,GCA_020163495.1,SAMN19459751,,
Enterococcus faecium,feces,2006.0,Brazil,GCA_020163515.1,SAMN19459752,,
Enterococcus faecium,blood,2006.0,Brazil,GCA_020163535.1,SAMN19459749,,
Enterococcus faecium,urine,2006.0,Brazil,GCA_020163555.1,SAMN19459750,,
Enterococcus faecium,feces,2005.0,Brazil,GCA_020163575.1,SAMN19459747,,
Enterococcus faecium,feces,2005.0,Brazil,GCA_020163605.1,SAMN19459745,,
Enterococcus faecium,feces,2005.0,Brazil,GCA_020163585.1,SAMN19459746,,
Enterococcus faecium,urine,2005.0,Brazil,GCA_020163615.1,SAMN19459748,,
Enterococcus faecium,urine,2004.0,Brazil,GCA_020163655.1,SAMN19459744,,
Enterococcus faecium,Wound secretion,2004.0,Brazil,GCA_020163695.1,SAMN19459742,,
Enterococcus faecium,urine,2004.0,Brazil,GCA_020163665.1,SAMN19459743,,
Enterococcus faecium,urine,2004.0,Brazil,GCA_020163715.1,SAMN19459741,,
Enterococcus faecium,blood,2019.0,Brazil,GCA_023059395.1,SAMN27549423,,
Enterococcus faecium,catheter tip,2020.0,Brazil,GCA_023060125.1,SAMN27549433,,
Enterococcus faecium,blood,2019.0,Brazil,GCA_023060575.1,SAMN27549403,,
Enterococcus faecium,not available,2019.0,Brazil,GCA_023572635.1,SAMN27549391,,
Enterococcus faecium,Liquor,2020.0,Curitiba,GCA_030346835.1,SAMN34171215,PR,Sul
Enterococcus faecium,rectal swab,2013.0,"Hospital das Clinicas, Sao Paulo",GCF_002005805.1,SAMN06330391,SP,Sul
Enterococcus faecium,Rectal Swab,2019.0,Curitiba,GCA_030346905.1,SAMN34171213,PR,Sul
Enterococcus faecium,blood,2020.0,Curitiba,GCA_030346955.1,SAMN34171214,PR,Sul
Enterococcus faecium,feces,2012.0,"Hospital das Clinicas, Sao Paulo",GCF_002005815.1,SAMN06330390,SP,Sul
Enterococcus faecium,feces,2013.0,"Hospital das Clinicas, Sao Paulo",GCF_002005825.1,SAMN06330395,SP,Sul
Enterococcus faecium,feces,2013.0,"Hospital das Clinicas, Sao Paulo",GCF_002005875.1,SAMN06330394,SP,Sul
Enterococcus faecium,feces,2014.0,"Hospital das Clinicas, Sao Paulo",GCF_002005885.1,SAMN06330397,SP,Sul
Enterococcus faecium,feces,2009.0,"Hospital das Clinicas, Sao Paulo",GCA_002005935.1,SAMN06330385,SP,Sul
Enterococcus faecium,rectal swab,2013.0,"Hospital das Clinicas, Sao Paulo",GCF_002005995.1,SAMN06330392,SP,Sul
Enterococcus faecium,rectal swab,2013.0,"Hospital das Clinicas, Sao Paulo",GCF_002006005.1,SAMN06330393,SP,Sul
Enterococcus faecium,feces,2008.0,"Hospital das Clinicas, Sao Paulo",GCA_002027475.1,SAMN06555612,SP,Sul
Enterococcus faecium,blood,2006.0,"Hospital das Clinicas, Sao Paulo",GCA_002027505.1,SAMN06555613,SP,Sul
Enterococcus faecium,blood,2006.0,"Hospital das Clinicas, Sao Paulo",GCA_002027515.1,SAMN06555614,SP,Sul
Enterococcus faecium,blood,2017.0,Sao Paulo,GCA_002750905.1,SAMN07842354,SP,Sul
Enterococcus faecium,Rectal swab,2017.0,Sao Paulo,GCA_002750945.1,SAMN07842694,SP,Sul
Enterococcus faecium,Rectal swab,2017.0,Sao Paulo,GCA_002751055.1,SAMN07842693,SP,Sul
Enterococcus faecium,blood,2007.0,"Hospital das Clinicas, Sao Paulo",GCA_003242935.1,SAMN09273503,SP,Sul
Enterococcus faecium,feces,2014.0,"Hospital das Clinicas, Sao Paulo",GCA_003242945.1,SAMN09273507,SP,Sul
Enterococcus faecium,swab,2013.0,"Hospital das Clinicas, Sao Paulo",GCA_003244335.1,SAMN09273504,SP,Sul
Enterococcus faecium,nasal fossa,2014.0,"Hospital das Clinicas, Sao Paulo",GCA_003312385.1,SAMN09273506,SP,Sul
Enterococcus faecium,feces,2013.0,"Hospital das Clinicas, Sao Paulo",GCA_003312405.1,SAMN09273505,SP,Sul
Enterococcus faecium,urine,2005.0,Rio de Janeiro,GCA_003332845.1,SAMN09475465,RJ,Sudeste
Enterococcus faecium,urine,2009.0,"Parana, Londrina",GCA_003697805.1,SAMN10142019,PR,Sul
Enterococcus faecium,Blood,2013.0,"Sao Paulo, Hospital das Clinicas",GCA_001005615.1,SAMN03433963,SP,Sul
Enterococcus faecium,perianal swab,2009.0,Belo Horizonte,GCF_001592725.1,SAMN04452878,MG,Sudeste
Enterococcus faecium,urine,2012.0,Brazil,GCA_008921725.1,SAMN10414370,,
Enterococcus faecium,urine,2012.0,Brazil,GCA_008921735.1,SAMN04977977,,
Enterococcus faecium,muscle biopsy,2012.0,Sao Jose do Rio Preto,GCA_008921805.1,SAMN09209988,SP,Sul
Enterococcus faecium,urine,2012.0,Brazil,GCA_008921825.1,SAMN04856681,,
Enterococcus faecium,urine,2012.0,Sao Jose do Rio Preto,GCA_008921835.1,SAMN04856160,SP,Sul
Enterococcus faecium,urine,2012.0,Brazil,GCA_008921845.1,SAMN04856698,,
Enterococcus faecium,urine,2012.0,Sao Jose do Rio Preto,GCA_008921855.1,SAMN09309281,SP,Sul
Enterococcus faecium,urine,2012.0,Brazil,GCA_008921905.1,SAMN09209957,,
Enterococcus faecium,urine,2012.0,Brazil,GCA_008921925.1,SAMN09209953,,
Enterococcus faecium,urine,2012.0,Brazil,GCA_008921935.1,SAMN09209955,,
Enterococcus faecium,urine,2012.0,Brazil,GCA_008921945.1,SAMN09209954,,
Enterococcus faecium,urine,2012.0,Brazil,GCA_008921955.1,SAMN09209956,,
Enterococcus faecium,subcutaneous tissue biopsy,2012.0,Sao Jose do Rio Preto,GCA_008922005.1,SAMN09210003,SP,Sul
Enterococcus faecium,urine,2012.0,Sao Jose do Rio Preto,GCA_008922055.1,SAMN09210002,SP,Sul
Enterococcus faecium,Ascitic Fluid,2012.0,Sao Jose do Rio Preto,GCA_009078405.1,SAMN10252953,SP,Sul
Enterococcus faecium,Bronco-alveolar lavage,2012.0,Sao Jose do Rio Preto,GCA_009078415.1,SAMN10252954,SP,Sul
Salmonella enterica,feces,2016.0,Sao Paulo,GCA_037955605.1,SAMN23072206,SP,Sul
Enterococcus faecium,Blood,1996.0,Brazil,GCA_000479165.1,SAMN02333862,,
Staphylococcus aureus,Blood,2012.0,Brazil,GCA_000525465.1,SAMN02383547,,
Staphylococcus aureus,Blood,2012.0,Brasil,GCA_000609005.1,SAMN02403757,,
Klebsiella quasipneumoniae,,2016.0,Rio de Janeiro,GCA_024813835.1,SAMN27293978,RJ,Sudeste
Klebsiella quasipneumoniae,urine,2019.0,Sao Paulo,GCA_036575175.1,SAMN18509339,SP,Sul
Klebsiella quasipneumoniae,urine,2019.0,Sao Paulo,GCA_036575205.1,SAMN18509340,SP,Sul
Klebsiella quasipneumoniae,urine,2018.0,Sao Paulo,GCA_036575245.1,SAMN18509334,SP,Sul
Klebsiella quasipneumoniae,Bloodstream,2018.0,Sao Paulo,GCA_036575275.1,SAMN18509335,SP,Sul
Klebsiella quasipneumoniae,Bloodstream,2018.0,Sao Paulo,GCA_036575265.1,SAMN18509333,SP,Sul
Klebsiella quasipneumoniae,hospital,2017.0,Campinas,GCA_006151945.1,SAMN11919472,SP,Sul
Klebsiella quasipneumoniae,perfusion fluid,2014.0,Campinas,GCA_006151965.1,SAMN11919483,SP,Sul
Klebsiella quasipneumoniae,swab,2017.0,Sao Paulo,GCA_006546635.1,SAMN09272523,SP,Sul
Klebsiella quasipneumoniae,wound,2015.0,Manaus,GCA_009361775.1,SAMN12147658,AM,Norte
Klebsiella quasipneumoniae,blood,2019.0,Brazil,GCA_016055875.1,SAMN16776082,,
Klebsiella quasipneumoniae,Rectal Swab,2014.0,Brazil,GCF_001715345.1,SAMN05505619,,
Klebsiella quasipneumoniae,tracheal secretion isolated from an uncertain age woman,2011.0,"City of Belo Horizonte, State of Minas Gerais",GCA_003020825.1,SAMN06767172,MG,Sudeste
Klebsiella quasipneumoniae,Rectal mucose,2015.0,"Uberlandia, MG",GCA_003583875.1,SAMN10025409,,
Klebsiella quasipneumoniae,urine,2016.0,Maceio,GCA_026222785.1,SAMN30807044,AL,Nordeste
Klebsiella quasipneumoniae,Surveillance swab,2021.0,Sao Paulo,GCA_026222805.1,SAMN30807046,SP,Sul
Klebsiella quasipneumoniae,urine,2021.0,Belem,GCA_026222915.1,SAMN30807041,PA,Norte
Klebsiella quasipneumoniae,Surveillance swab,2020.0,Sao Paulo,GCA_026223195.1,SAMN30807025,SP,Sul
Klebsiella quasipneumoniae,Surveillance swab,2021.0,Campinas,GCA_026223355.1,SAMN30807013,SP,Sul
Klebsiella quasipneumoniae,urine,2019.0,Tocantins,GCA_026223415.1,SAMN30807011,,
Klebsiella quasipneumoniae,urine,2021.0,Sao Paulo,GCA_026223535.1,SAMN30807006,SP,Sul
Klebsiella quasipneumoniae,blood,2020.0,Sao Paulo,GCA_026223585.1,SAMN30807004,SP,Sul
Klebsiella quasipneumoniae,Surveillance swab,2019.0,Santo Andre,GCA_026223645.1,SAMN30807000,SP,Sul
Klebsiella quasipneumoniae,urine,2019.0,Santo Andre,GCA_026223675.1,SAMN30806999,SP,Sul
Klebsiella quasipneumoniae,blood,2022.0,Itapevi,GCA_026223695.1,SAMN30806998,SP,Sul
Salmonella enterica,body fluid,2011.0,Brazil,GCA_008120825.1,SAMN09709348,,
Salmonella enterica,feces,2008.0,Sao Paulo,GCA_019148595.1,SAMN19403791,SP,Sul
Salmonella enterica,Biological material,1996.0,Brazil,GCA_024701125.1,SAMN14642247,,
Salmonella enterica,Biological material,1995.0,Brazil,GCA_024701015.1,SAMN14642249,,
Salmonella enterica,chicken meat,2017.0,Brazil,GCA_037055345.1,SAMN40191266,,
Salmonella enterica,Feces,1986.0,Brazil,GCA_002037825.1,SAMN06073080,,
Salmonella enterica,Feces,1994.0,Brazil,GCA_002037865.1,SAMN06073824,,
Salmonella enterica,Feces,1994.0,Brazil,GCA_002037835.1,SAMN06073832,,
Salmonella enterica,Feces,1994.0,Brazil,GCA_002037895.1,SAMN06073851,,
Salmonella enterica,Feces,1992.0,Brazil,GCA_002037905.1,SAMN06073876,,
Salmonella enterica,Feces,1994.0,Brazil,GCA_002037965.1,SAMN06073814,,
Salmonella enterica,Feces,1995.0,Brazil,GCA_002037995.1,SAMN06073985,,
Salmonella enterica,Feces,1995.0,Brazil,GCA_002038035.1,SAMN06073982,,
Salmonella enterica,Feces,1995.0,Brazil,GCA_002038065.1,SAMN06073981,,
Salmonella enterica,Feces,1996.0,Brazil,GCA_002038155.1,SAMN06073968,,
